Deaths,Cases,dates,cities
,4,17.6.21,Tiznit
,15,20.6.21,Agadir-Ida -Ou-Tanane
,10,20.6.21,Inezgane- Ait Melloul
,1,20.6.21,Chtouka- Ait Baha
1,7,22.6.21,Inezgane- Ait Melloul
,5,22.6.21,Tiznit
,3,22.6.21,Agadir-Ida -Ou-Tanane
,2,22.6.21,Chtouka- Ait Baha
,37,23.6.21,Agadir-Ida -Ou-Tanane
1,4,23.6.21,Taroudannt
1,3,23.6.21,Inezgane- Ait Melloul
,2,23.6.21,Chtouka- Ait Baha
,1,23.6.21,Tiznit
,1,23.6.21,Tata
,18,26.6.21,Agadir-Ida -Ou-Tanane
,12,26.6.21,Inezgane- Ait Melloul
,6,26.6.21,Chtouka- Ait Baha
,2,26.6.21,Taroudannt
,2,26.6.21,Tiznit
,26,27.6.21,Agadir-Ida -Ou-Tanane
,15,27.6.21,Inezgane- Ait Melloul
,1,27.6.21,Taroudannt
,1,27.6.21,Chtouka- Ait Baha
,15,28.6.21,Agadir-Ida -Ou-Tanane
,3,28.6.21,Chtouka- Ait Baha
,2,28.6.21,Inezgane- Ait Melloul
,2,28.6.21,Tiznit
1,19,29.6.21,Inezgane- Ait Melloul
2,10,29.6.21,Agadir-Ida -Ou-Tanane
,8,29.6.21,Chtouka- Ait Baha
,3,29.6.21,Tiznit
,1,29.6.21,Taroudannt
,31,30.6.21,Agadir-Ida -Ou-Tanane
,26,30.6.21,Inezgane- Ait Melloul
,4,30.6.21,Tiznit
,2,30.6.21,Chtouka- Ait Baha
